userId,courseId,currentScore,finalScore,currentGrade,finalGrade,courseAvgGrade,teacherId,teacherName,courseCode,CS 124,CS 124 Average,CS 165,CS 165 Average,CS 235,CS 235 Average,Core Average
16713,39030,83.65,75.28,B,C,52.9416,38996,Kristi Hansen,CS101,,,,,,,
43657,39030,99.88,79.9,A,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
96489,39030,74.32,59.46,C,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
5434,39030,80.11,72.1,B-,C-,52.9416,38996,Kristi Hansen,CS101,,,,,,,
41933,39030,98.88,88.99,A,B+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
3848,39030,71.53,64.38,C-,D,52.9416,38996,Kristi Hansen,CS101,,,,,,,
96773,39030,0,0,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
46515,39030,100,80,A,B-,52.9416,38996,Kristi Hansen,CS101,,,,,,,
60581,39030,40.8,32.64,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
65769,39030,92.31,73.84,A-,C,52.9416,38996,Kristi Hansen,CS101,,,,,,,
24655,39030,94.78,75.83,A,C,52.9416,38996,Kristi Hansen,CS101,,,,,,,
80253,39030,93.1,83.79,A,B,52.9416,38996,Kristi Hansen,CS101,,,,,,,
5614,39030,0,0,F,F,52.9416,38996,Kristi Hansen,CS101,36.01,38.3684,,,,,36.01
22437,39030,78.88,63.1,C+,D,52.9416,38996,Kristi Hansen,CS101,,,,,,,
94401,39030,86.9,78.21,B,C+,52.9416,38996,Kristi Hansen,CS101,76.93,49.5586,,,,,76.93
19325,39030,90.26,72.21,A-,C-,52.9416,38996,Kristi Hansen,CS101,,,,,,,
1405,39030,93.33,84,A,B,52.9416,38996,Kristi Hansen,CS101,,,,,,,
66943,39030,100.11,90.1,A,A-,52.9416,38996,Kristi Hansen,CS101,,,,,,,
87191,39030,97.94,88.15,A,B+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
58463,39030,20.4,16.32,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
66623,39030,43.97,35.18,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
96419,39030,90.41,81.37,A-,B-,52.9416,38996,Kristi Hansen,CS101,0,31.9428,,,,,0
13504,39030,69.13,55.3,D+,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
66173,39030,0,0,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
24174,39030,97.74,78.19,A,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
23190,39030,81.33,65.07,B-,D,52.9416,38996,Kristi Hansen,CS101,,,,,,,
87963,39030,98.75,79,A,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
34314,39030,88.11,79.3,B+,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
14436,39030,58.88,47.1,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
31173,39030,0,0,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
79375,39030,99.99,79.99,A,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
52417,39030,97.82,78.26,A,C+,52.9416,38996,Kristi Hansen,CS101,,,,,,,
97395,39030,30.14,27.13,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
11149,39030,0,0,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
73737,39030,17.97,14.38,F,F,52.9416,38996,Kristi Hansen,CS101,,,,,,,
